allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
blaADC-129,blaADC,,extended-spectrum class C beta-lactamase ADC-129,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005039111.1,NG_064685.1,No,ENV92309.1,APQH01000006.1,-,279509,280660,+,101.0,1252.0,,,,blaADC-129,2023-11-15.1,Acinetobacter calcoaceticus ANC 3680 blaADC,extended-spectrum class C beta-lactamase ADC-129,,Acinetobacter calcoaceticus ANC 3680,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-129,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus ANC 3680,ANC 3680,Acinetobacter calcoaceticus ANC 3680,ANC 3680,Acinetobacter calcoaceticus ANC 3680,http://www.wikidata.org/entity/Q4674168
blaADC-13,blaADC,,extended-spectrum class C beta-lactamase ADC-13,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857788.1,NG_048637.1,No,CAK95248.2,AM283528.2,+,1,1152,+,1.0,1152.0,19029333,,,blaADC-13,2023-11-15.1,Acinetobacter pittii 20 GEIH blaADC,extended-spectrum class C beta-lactamase ADC-13,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-13,Acinetobacter pittii,Acinetobacter pittii,20 GEIH,Acinetobacter pittii,20 GEIH,Acinetobacter pittii 20 GEIH,http://www.wikidata.org/entity/Q16825015
blaADC-130,blaADC,,extended-spectrum class C beta-lactamase ADC-130,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004886093.1,NG_064686.1,No,ENV41121.1,APPP01000013.1,-,366971,368122,+,101.0,1252.0,,,,blaADC-130,2023-11-15.1,Acinetobacter nosocomialis NIPH 386 blaADC,extended-spectrum class C beta-lactamase ADC-130,,Acinetobacter nosocomialis NIPH 386,Acinetobacter,extended-spectrum class C beta-lactamase ADC-130,Acinetobacter,Acinetobacter nosocomialis NIPH 386,NIPH 386,Acinetobacter nosocomialis NIPH 386,NIPH 386,Acinetobacter nosocomialis NIPH 386,http://www.wikidata.org/entity/Q16825007
blaADC-131,blaADC,,extended-spectrum class C beta-lactamase ADC-131,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_004707701.1,NG_064687.1,No,ENU48760.1,APOP01000002.1,-,166885,168036,+,101.0,1252.0,,,,blaADC-131,2023-11-15.1,Acinetobacter nosocomialis NIPH 2119 blaADC,extended-spectrum class C beta-lactamase ADC-131,,Acinetobacter nosocomialis NIPH 2119,Acinetobacter nosocomialis,extended-spectrum class C beta-lactamase ADC-131,Acinetobacter nosocomialis,Acinetobacter nosocomialis NIPH 2119,NIPH 2119,Acinetobacter nosocomialis NIPH 2119,NIPH 2119,Acinetobacter nosocomialis NIPH 2119,http://www.wikidata.org/entity/Q16825007
blaADC-132,blaADC,,extended-spectrum class C beta-lactamase ADC-132,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005068074.1,NG_064688.1,No,ENW11417.1,APQN01000012.1,-,267317,268468,+,101.0,1252.0,,,,blaADC-132,2023-11-15.1,Acinetobacter pittii ANC 3678 blaADC,extended-spectrum class C beta-lactamase ADC-132,,Acinetobacter pittii ANC 3678,Acinetobacter,extended-spectrum class C beta-lactamase ADC-132,Acinetobacter,Acinetobacter pittii ANC 3678,ANC 3678,Acinetobacter pittii ANC 3678,ANC 3678,Acinetobacter pittii ANC 3678,http://www.wikidata.org/entity/Q16825015
blaADC-136,blaADC,,extended-spectrum class C beta-lactamase ADC-136,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_016137488.1,NG_064692.1,No,EOQ64883.1,APQJ01000005.1,-,303184,304335,+,101.0,1252.0,,,,blaADC-136,2023-11-15.1,Acinetobacter calcoaceticus ANC 3811 blaADC,extended-spectrum class C beta-lactamase ADC-136,,Acinetobacter calcoaceticus ANC 3811,Acinetobacter calcoaceticus,extended-spectrum class C beta-lactamase ADC-136,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus ANC 3811,ANC 3811,Acinetobacter calcoaceticus ANC 3811,ANC 3811,Acinetobacter calcoaceticus ANC 3811,http://www.wikidata.org/entity/Q4674168
blaADC-137,blaADC,,extended-spectrum class C beta-lactamase ADC-137,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_016140427.1,NG_064693.1,No,EOQ71234.1,APQM01000001.1,-,330725,331876,+,101.0,1252.0,,,,blaADC-137,2023-11-15.1,Acinetobacter pittii ANC 4050 blaADC,extended-spectrum class C beta-lactamase ADC-137,,Acinetobacter pittii ANC 4050,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-137,Acinetobacter pittii,Acinetobacter pittii ANC 4050,ANC 4050,Acinetobacter pittii ANC 4050,ANC 4050,Acinetobacter pittii ANC 4050,http://www.wikidata.org/entity/Q16825015
blaADC-138,blaADC,,extended-spectrum class C beta-lactamase ADC-138,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_016146025.1,NG_064694.1,No,EOQ73533.1,APQO01000006.1,+,1286029,1287180,+,101.0,1252.0,,,,blaADC-138,2023-11-15.1,Acinetobacter lactucae ANC 4052 blaADC,extended-spectrum class C beta-lactamase ADC-138,,Acinetobacter lactucae,Acinetobacter lactucae,extended-spectrum class C beta-lactamase ADC-138,Acinetobacter lactucae,Acinetobacter lactucae,ANC 4052,Acinetobacter lactucae,ANC 4052,Acinetobacter lactucae ANC 4052,http://www.wikidata.org/entity/Q55603144
blaADC-139,blaADC,,extended-spectrum class C beta-lactamase ADC-139,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032039838.1,NG_064695.1,No,EXS60093.1,JFYI01000005.1,-,216169,217320,+,101.0,1252.0,,,,blaADC-139,2023-11-15.1,Acinetobacter baumannii 1406589 blaADC,extended-spectrum class C beta-lactamase ADC-139,,Acinetobacter baumannii 1406589,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-139,Acinetobacter baumannii,Acinetobacter baumannii 1406589,1406589,Acinetobacter baumannii 1406589,1406589,Acinetobacter baumannii 1406589,http://www.wikidata.org/entity/Q3241189
blaADC-14,blaADC,,extended-spectrum class C beta-lactamase ADC-14,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857789.1,NG_048638.1,No,CAK95247.1,AM283527.1,+,1,1152,+,1.0,1152.0,,,,blaADC-14,2023-11-15.1,Acinetobacter pittii 65 GEIH blaADC,extended-spectrum class C beta-lactamase ADC-14,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-14,Acinetobacter pittii,Acinetobacter pittii,65 GEIH,Acinetobacter pittii,65 GEIH,Acinetobacter pittii 65 GEIH,http://www.wikidata.org/entity/Q16825015
blaADC-140,blaADC,,extended-spectrum class C beta-lactamase ADC-140,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211209.1,NG_064696.1,No,EYS55294.1,JHPF01000005.1,+,1179,2330,+,101.0,1252.0,,,,blaADC-140,2023-11-15.1,Acinetobacter baumannii 16553_10 blaADC,extended-spectrum class C beta-lactamase ADC-140,,Acinetobacter baumannii 16553_10,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-140,Acinetobacter baumannii,Acinetobacter baumannii 16553_10,16553_10,Acinetobacter baumannii 16553_10,16553_10,Acinetobacter baumannii 16553_10,http://www.wikidata.org/entity/Q3241189
blaADC-141,blaADC,,extended-spectrum class C beta-lactamase ADC-141,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032062810.1,NG_064697.1,No,EXD64655.1,JEZV01000049.1,-,7922,9073,+,101.0,1252.0,,,,blaADC-141,2023-11-15.1,Acinetobacter baumannii 58452 blaADC,extended-spectrum class C beta-lactamase ADC-141,,Acinetobacter baumannii 58452,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-141,Acinetobacter baumannii,Acinetobacter baumannii 58452,58452,Acinetobacter baumannii 58452,58452,Acinetobacter baumannii 58452,http://www.wikidata.org/entity/Q3241189
blaADC-143,blaADC,,extended-spectrum class C beta-lactamase ADC-143,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_033502167.1,NG_064698.1,Yes,,AGSU01000096.1,-,36675,37826,+,101.0,1252.0,,,,blaADC-143,2023-11-15.1,Acinetobacter baumannii TYTH-6 blaADC,extended-spectrum class C beta-lactamase ADC-143,,Acinetobacter baumannii TYTH-6,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-143,Acinetobacter baumannii,Acinetobacter baumannii TYTH-6,TYTH-6,,,Acinetobacter baumannii TYTH-6,http://www.wikidata.org/entity/Q3241189
blaADC-144,blaADC,,cefepime-hydrolyzing class C beta-lactamase ADC-144,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211214.1,NG_064699.1,Yes,,AMIJ01000141.1,+,135566,136717,+,101.0,1252.0,21788456,,,blaADC-144,2023-11-15.1,Acinetobacter baumannii AB_TG2030 blaADC,cefepime-hydrolyzing class C beta-lactamase ADC-144,,Acinetobacter baumannii AB_TG2030,Acinetobacter baumannii,cefepime-hydrolyzing class C beta-lactamase ADC-144,Acinetobacter baumannii,Acinetobacter baumannii AB_TG2030,AB_TG2030,,,Acinetobacter baumannii AB_TG2030,http://www.wikidata.org/entity/Q3241189
blaADC-145,blaADC,,extended-spectrum class C beta-lactamase ADC-145,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_039270258.1,NG_064700.1,No,KHY08585.1,JWWE03000102.1,+,9,1160,+,9.0,1160.0,,,,blaADC-145,2023-11-15.1,Acinetobacter baumannii UH184_295 blaADC,extended-spectrum class C beta-lactamase ADC-145,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-145,Acinetobacter baumannii,Acinetobacter baumannii,UH184_295,Acinetobacter baumannii,UH184_295,Acinetobacter baumannii UH184_295,http://www.wikidata.org/entity/Q3241189
blaADC-146,blaADC,,extended-spectrum class C beta-lactamase ADC-146,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_039258389.1,NG_064701.1,No,KHV30477.1,JWSI03000106.1,-,36391,37542,+,66.0,1217.0,,,,blaADC-146,2023-11-15.1,Acinetobacter baumannii ABUH524354 blaADC,extended-spectrum class C beta-lactamase ADC-146,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-146,Acinetobacter baumannii,Acinetobacter baumannii,ABUH524354,Acinetobacter baumannii,ABUH524354,Acinetobacter baumannii ABUH524354,http://www.wikidata.org/entity/Q3241189
blaADC-147,blaADC,,extended-spectrum class C beta-lactamase ADC-147,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_044718369.1,NG_064702.1,No,OLU89926.1,JZCF02000002.1,-,36467,37618,+,85.0,1236.0,,,,blaADC-147,2023-11-15.1,Acinetobacter baumannii ORAB17 blaADC,extended-spectrum class C beta-lactamase ADC-147,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-147,Acinetobacter baumannii,Acinetobacter baumannii,ORAB17,Acinetobacter baumannii,ORAB17,Acinetobacter baumannii ORAB17,http://www.wikidata.org/entity/Q3241189
blaADC-148,blaADC,,extended-spectrum class C beta-lactamase ADC-148,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_039246976.1,NG_064703.1,No,AJB47604.1,CP010368.1,-,1186423,1187574,+,101.0,1252.0,,,,blaADC-148,2023-11-15.1,Acinetobacter nosocomialis 6411 blaADC,extended-spectrum class C beta-lactamase ADC-148,,Acinetobacter nosocomialis,Acinetobacter nosocomialis,extended-spectrum class C beta-lactamase ADC-148,Acinetobacter nosocomialis,Acinetobacter nosocomialis,6411,Acinetobacter nosocomialis,6411,Acinetobacter nosocomialis 6411,http://www.wikidata.org/entity/Q16825007
blaADC-149,blaADC,,extended-spectrum class C beta-lactamase ADC-149,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_014207272.1,NG_064704.1,No,ADY82440.1,CP002177.1,+,1995662,1996813,+,101.0,1252.0,,,,blaADC-149,2023-11-15.1,Acinetobacter pittii PHEA-2 blaADC,extended-spectrum class C beta-lactamase ADC-149,,Acinetobacter pittii PHEA-2,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-149,Acinetobacter pittii,Acinetobacter pittii PHEA-2,PHEA-2,Acinetobacter pittii PHEA-2,PHEA-2,Acinetobacter pittii PHEA-2,http://www.wikidata.org/entity/Q16825015
blaADC-15,blaADC,,extended-spectrum class C beta-lactamase ADC-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857790.1,NG_048639.1,No,CAK95246.1,AM283526.1,+,1,1152,+,1.0,1152.0,19029333,,,blaADC-15,2023-11-15.1,Acinetobacter pittii 69 GEIH blaADC,extended-spectrum class C beta-lactamase ADC-15,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-15,Acinetobacter pittii,Acinetobacter pittii,69 GEIH,Acinetobacter pittii,69 GEIH,Acinetobacter pittii 69 GEIH,http://www.wikidata.org/entity/Q16825015
blaADC-150,blaADC,,extended-spectrum class C beta-lactamase ADC-150,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_017386568.1,NG_064705.1,No,AKT73351.1,KR153290.1,+,1,1152,+,1.0,1152.0,,,,blaADC-150,2023-11-15.1,Acinetobacter pittii AP_882 blaADC,extended-spectrum class C beta-lactamase ADC-150,,Acinetobacter pittii,Acinetobacter,extended-spectrum class C beta-lactamase ADC-150,Acinetobacter,Acinetobacter pittii,AP_882,Acinetobacter pittii,AP_882,Acinetobacter pittii AP_882,http://www.wikidata.org/entity/Q16825015
blaADC-151,blaADC,,extended-spectrum class C beta-lactamase ADC-151,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063099318.1,NG_064706.1,No,AMX20227.1,CP015145.1,+,3232811,3233962,+,101.0,1252.0,,,,blaADC-151,2023-11-15.1,Acinetobacter pittii IEC338SC blaADC,extended-spectrum class C beta-lactamase ADC-151,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-151,Acinetobacter pittii,Acinetobacter pittii,IEC338SC,Acinetobacter pittii,IEC338SC,Acinetobacter pittii IEC338SC,http://www.wikidata.org/entity/Q16825015
blaADC-152,blaADC,,extended-spectrum class C beta-lactamase ADC-152,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211233.1,NG_054691.1,No,AQV05407.1,KY674540.1,+,1,1152,+,1.0,1152.0,,,,blaADC-152,2023-11-15.1,Acinetobacter baumannii AB2RED09 blaADC,extended-spectrum class C beta-lactamase ADC-152,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-152,Acinetobacter baumannii,Acinetobacter baumannii,AB2RED09,Acinetobacter baumannii,AB2RED09,Acinetobacter baumannii AB2RED09,http://www.wikidata.org/entity/Q3241189
blaADC-153,blaADC,,extended-spectrum class C beta-lactamase ADC-153,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_099156045.1,NG_055657.1,No,ARO72334.1,KY997074.1,+,1,1152,+,1.0,1152.0,,,,blaADC-153,2023-11-15.1,Acinetobacter baumannii MRY12-1052 blaADC,extended-spectrum class C beta-lactamase ADC-153,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-153,Acinetobacter baumannii,Acinetobacter baumannii,MRY12-1052,Acinetobacter baumannii,MRY12-1052,Acinetobacter baumannii MRY12-1052,http://www.wikidata.org/entity/Q3241189
blaADC-154,blaADC,,extended-spectrum class C beta-lactamase ADC-154,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005138362.1,NG_054996.1,No,ART46239.1,MF152948.1,+,1,1152,+,1.0,1152.0,,,,blaADC-154,2023-11-15.1,Acinetobacter baumannii JX101 blaADC,extended-spectrum class C beta-lactamase ADC-154,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-154,Acinetobacter baumannii,Acinetobacter baumannii,JX101,Acinetobacter baumannii,JX101,Acinetobacter baumannii JX101,http://www.wikidata.org/entity/Q3241189
blaADC-155,blaADC,,extended-spectrum class C beta-lactamase ADC-155,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_005128228.1,NG_055285.1,No,ARX71325.1,MF164462.1,+,1,1152,+,1.0,1152.0,,,,blaADC-155,2023-11-15.1,Acinetobacter baumannii A369 blaADC,extended-spectrum class C beta-lactamase ADC-155,,Acinetobacter baumannii,Acinetobacter,extended-spectrum class C beta-lactamase ADC-155,Acinetobacter,Acinetobacter baumannii,A369,Acinetobacter baumannii,A369,Acinetobacter baumannii A369,http://www.wikidata.org/entity/Q3241189
blaADC-156,blaADC,,extended-spectrum class C beta-lactamase ADC-156,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_024436624.1,NG_055286.1,No,ARX71326.1,MF164463.1,+,1,1152,+,1.0,1152.0,,,,blaADC-156,2023-11-15.1,Acinetobacter baumannii B30 blaADC,extended-spectrum class C beta-lactamase ADC-156,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-156,Acinetobacter baumannii,Acinetobacter baumannii,B30,Acinetobacter baumannii,B30,Acinetobacter baumannii B30,http://www.wikidata.org/entity/Q3241189
blaADC-157,blaADC,,extended-spectrum class C beta-lactamase ADC-157,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_088245227.1,NG_055287.1,No,ARX71327.1,MF164464.1,+,1,1152,+,1.0,1152.0,,,,blaADC-157,2023-11-15.1,Acinetobacter baumannii 13-LS066 blaADC,extended-spectrum class C beta-lactamase ADC-157,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-157,Acinetobacter baumannii,Acinetobacter baumannii,13-LS066,Acinetobacter baumannii,13-LS066,Acinetobacter baumannii 13-LS066,http://www.wikidata.org/entity/Q3241189
blaADC-158,blaADC,,extended-spectrum class C beta-lactamase ADC-158,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211227.1,NG_055786.1,No,ATP60650.1,MG229640.1,+,1,1152,+,1.0,1152.0,,,,blaADC-158,2023-11-15.1,Acinetobacter baumannii A91 blaADC,extended-spectrum class C beta-lactamase ADC-158,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-158,Acinetobacter baumannii,Acinetobacter baumannii,A91,Acinetobacter baumannii,A91,Acinetobacter baumannii A91,http://www.wikidata.org/entity/Q3241189
blaADC-159,blaADC,,extended-spectrum class C beta-lactamase ADC-159,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_033851992.1,NG_055787.1,No,ATP60652.1,MG229642.1,+,1,1152,+,1.0,1152.0,,,,blaADC-159,2023-11-15.1,Acinetobacter baumannii H120 blaADC,extended-spectrum class C beta-lactamase ADC-159,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-159,Acinetobacter baumannii,Acinetobacter baumannii,H120,Acinetobacter baumannii,H120,Acinetobacter baumannii H120,http://www.wikidata.org/entity/Q3241189
blaADC-16,blaADC,,extended-spectrum class C beta-lactamase ADC-16,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857791.1,NG_048640.1,No,CAK95245.1,AM283525.1,+,1,1152,+,1.0,1152.0,19029333,,,blaADC-16,2023-11-15.1,Acinetobacter pittii 103 GEIH blaADC,extended-spectrum class C beta-lactamase ADC-16,,Acinetobacter pittii,Acinetobacter pittii,extended-spectrum class C beta-lactamase ADC-16,Acinetobacter pittii,Acinetobacter pittii,103 GEIH,Acinetobacter pittii,103 GEIH,Acinetobacter pittii 103 GEIH,http://www.wikidata.org/entity/Q16825015
blaADC-160,blaADC,,extended-spectrum class C beta-lactamase ADC-160,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032037870.1,NG_055788.1,No,ATP60653.1,MG229643.1,+,1,1152,+,1.0,1152.0,,,,blaADC-160,2023-11-15.1,Acinetobacter baumannii P997 blaADC,extended-spectrum class C beta-lactamase ADC-160,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-160,Acinetobacter baumannii,Acinetobacter baumannii,P997,Acinetobacter baumannii,P997,Acinetobacter baumannii P997,http://www.wikidata.org/entity/Q3241189
blaADC-162,blaADC,,extended-spectrum class C beta-lactamase ADC-162,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_031980335.1,NG_056060.1,No,ATW66974.1,MG452939.1,-,1,1152,+,1.0,1152.0,,,,blaADC-162,2023-11-15.1,Acinetobacter baumannii S1 blaADC,extended-spectrum class C beta-lactamase ADC-162,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-162,Acinetobacter baumannii,Acinetobacter baumannii,S1,Acinetobacter baumannii,S1,Acinetobacter baumannii S1,http://www.wikidata.org/entity/Q3241189
blaADC-163,blaADC,,extended-spectrum class C beta-lactamase ADC-163,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_057093064.1,NG_056105.1,No,AUD40657.1,MG601728.1,+,1,1152,+,1.0,1152.0,,,,blaADC-163,2023-11-15.1,Acinetobacter baumannii N8 blaADC,extended-spectrum class C beta-lactamase ADC-163,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-163,Acinetobacter baumannii,Acinetobacter baumannii,N8,Acinetobacter baumannii,N8,Acinetobacter baumannii N8,http://www.wikidata.org/entity/Q3241189
blaADC-164,blaADC,,extended-spectrum class C beta-lactamase ADC-164,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032068214.1,NG_056106.1,No,AUD40660.1,MG601731.1,+,1,1152,+,1.0,1152.0,,,,blaADC-164,2023-11-15.1,Acinetobacter baumannii JX214 blaADC,extended-spectrum class C beta-lactamase ADC-164,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-164,Acinetobacter baumannii,Acinetobacter baumannii,JX214,Acinetobacter baumannii,JX214,Acinetobacter baumannii JX214,http://www.wikidata.org/entity/Q3241189
blaADC-165,blaADC,,extended-spectrum class C beta-lactamase ADC-165,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_001211239.1,NG_056107.1,No,AUD40662.1,MG601733.1,+,1,1152,+,1.0,1152.0,,,,blaADC-165,2023-11-15.1,Acinetobacter baumannii LSP80 blaADC,extended-spectrum class C beta-lactamase ADC-165,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-165,Acinetobacter baumannii,Acinetobacter baumannii,LSP80,Acinetobacter baumannii,LSP80,Acinetobacter baumannii LSP80,http://www.wikidata.org/entity/Q3241189
blaADC-166,blaADC,,extended-spectrum class C beta-lactamase ADC-166,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_101244937.1,NG_056108.1,No,AUD40663.1,MG601734.1,+,1,1152,+,1.0,1152.0,,,,blaADC-166,2023-11-15.1,Acinetobacter baumannii B7 blaADC,extended-spectrum class C beta-lactamase ADC-166,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-166,Acinetobacter baumannii,Acinetobacter baumannii,B7,Acinetobacter baumannii,B7,Acinetobacter baumannii B7,http://www.wikidata.org/entity/Q3241189
blaADC-167,blaADC,,extended-spectrum class C beta-lactamase ADC-167,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_002046804.1,NG_056109.1,No,AUD40664.1,MG601735.1,+,1,1152,+,1.0,1152.0,,,,blaADC-167,2023-11-15.1,Acinetobacter baumannii T10 blaADC,extended-spectrum class C beta-lactamase ADC-167,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-167,Acinetobacter baumannii,Acinetobacter baumannii,T10,Acinetobacter baumannii,T10,Acinetobacter baumannii T10,http://www.wikidata.org/entity/Q3241189
blaADC-168,blaADC,,extended-spectrum class C beta-lactamase ADC-168,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_101244938.1,NG_056110.1,No,AUD40665.1,MG601736.1,+,1,1152,+,1.0,1152.0,,,,blaADC-168,2023-11-15.1,Acinetobacter baumannii T16 blaADC,extended-spectrum class C beta-lactamase ADC-168,,Acinetobacter baumannii,Acinetobacter baumannii,extended-spectrum class C beta-lactamase ADC-168,Acinetobacter baumannii,Acinetobacter baumannii,T16,Acinetobacter baumannii,T16,Acinetobacter baumannii T16,http://www.wikidata.org/entity/Q3241189
